time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic
1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1.03,1.05,-9.82,-0.25,0.0,0.0625,271.5625,6.125,-173.9375,0.0
2.83,1.04,1.04,-9.75,0.3125,-0.25,0.0625,271.5625,6.125,-173.9375,0.0
3.47,1.04,1.06,-9.84,-0.0625,0.0,-0.125,271.5625,6.125,-173.9375,0.0
4.1,1.03,1.03,-9.76,0.0,0.125,0.0,271.5625,6.125,-173.9375,0.0
4.73,1.03,1.02,-9.74,0.1875,0.4375,0.125,271.5625,6.125,-173.9375,0.0
5.36,0.99,1.12,-9.74,0.875,-0.4375,-0.0625,271.5625,6.0625,-173.875,0.0
5.99,1.05,1.08,-9.81,0.0,-1.4375,-0.0625,271.5625,6.0625,-173.9375,0.0
6.63,1.03,1.04,-9.81,-0.125,-0.125,0.0625,271.5625,6.0625,-174.0,0.0
7.26,1.01,1.04,-9.77,-0.0625,-0.0625,0.0,271.5625,6.0625,-174.0,0.0
7.89,1.04,1.02,-9.86,-0.0625,0.0,0.0625,271.5625,6.0625,-174.0,0.0
8.53,1.05,1.02,-9.73,-0.0625,0.0625,-0.0625,271.5625,6.0625,-174.0,0.0
9.16,1.04,1.03,-9.77,0.1875,-0.125,-0.0625,271.5625,6.0625,-174.0,0.0
9.79,1.04,1.02,-9.75,-0.125,0.3125,-0.125,271.5625,6.0625,-174.0,0.0
10.43,1.03,1.05,-9.75,-0.0625,-0.25,0.0,271.5625,6.0625,-174.0,0.0
11.07,1.03,1.04,-9.77,0.0,0.125,-0.0625,271.5625,6.0625,-174.0,0.0
11.7,1.04,1.02,-9.73,-0.0625,0.0,-0.0625,271.5625,6.0625,-174.0,0.0
12.34,1.04,1.05,-9.75,0.0625,0.125,0.0,271.5625,6.0625,-174.0,0.0
12.97,1.04,1.06,-9.84,0.1875,0.0625,0.0,271.5625,6.0625,-174.0,0.0
13.61,1.03,1.03,-9.73,-0.0625,0.125,0.0,271.5625,6.0625,-174.0,0.0
14.24,1.04,1.03,-9.8,-0.0625,-0.0625,0.0625,271.5625,6.0625,-174.0,0.0
14.88,1.04,1.07,-9.85,0.0,0.0,0.0,271.5625,6.0625,-174.0,0.0
15.51,1.03,1.06,-9.75,0.0625,-0.125,-0.125,271.5625,6.0625,-174.0,0.0
16.15,1.01,1.05,-9.78,0.125,0.0625,0.0,271.5625,6.0625,-174.0,0.0
16.78,1.02,1.05,-9.74,-0.0625,0.0,0.0,271.5625,6.0625,-174.0,0.0
17.42,1.03,1.02,-9.73,-0.0625,-0.0625,0.0,271.5625,6.0625,-174.0,0.0
18.06,1.02,1.0,-9.84,-0.0625,0.0625,0.0,271.5625,6.0625,-174.0,0.0
18.69,1.03,1.05,-9.74,0.0625,-0.0625,0.0,271.5625,6.0625,-174.0,0.0
19.32,1.02,1.0,-9.84,-0.0625,-0.125,0.0625,271.5625,6.0625,-174.0,0.0
19.96,1.02,1.03,-9.87,-0.0625,-0.125,0.0625,271.5625,6.0625,-174.0,0.0
20.6,1.03,1.07,-9.74,-0.125,-0.0625,0.0,271.5625,6.0625,-174.0,0.0
21.24,1.03,1.03,-9.76,-0.0625,-0.25,0.0,271.5625,6.0625,-174.0,0.0
21.87,1.01,1.03,-9.86,0.25,-0.0625,0.0625,271.5625,6.0625,-174.0,0.0
22.51,1.04,1.07,-9.77,-0.0625,-0.0625,0.0625,271.5625,6.0625,-174.0,0.0
23.14,1.01,1.05,-9.79,0.0,0.0,-0.0625,271.5625,6.0625,-174.0,0.0
23.78,1.04,1.04,-9.75,-0.0625,-0.0625,-0.0625,271.5625,6.0625,-174.0,0.0
24.42,1.05,1.05,-9.74,-0.0625,0.125,0.0,271.5625,6.0625,-174.0,0.0
25.06,1.04,1.01,-9.83,0.0,0.0625,-0.125,271.5625,6.0625,-174.0,0.0
25.69,1.04,1.03,-9.74,-0.125,0.0,0.0,271.5625,6.0625,-174.0,0.01
26.33,1.01,1.03,-9.75,-0.125,-0.125,0.0,271.5625,6.0625,-174.0,0.04
26.96,1.03,1.04,-9.81,-0.0625,0.0625,0.0,271.5625,6.0625,-174.0,0.05
27.6,1.03,1.04,-9.8,0.0,0.0,-0.0625,271.5625,6.0625,-174.0,0.04
28.23,1.01,1.04,-9.74,0.0625,0.0625,0.0625,271.5625,6.0625,-174.0,0.04
28.87,1.01,1.04,-9.83,0.0625,-0.0625,-0.0625,271.5625,6.0625,-174.0,0.05
29.5,1.02,1.03,-9.75,0.125,-0.0625,-0.0625,271.5625,6.0625,-174.0,0.08
30.14,1.0,1.02,-9.73,0.0,0.0625,0.0625,271.5625,6.0625,-174.0,0.01
30.78,1.02,1.04,-9.86,-0.0625,-0.125,0.0,271.5625,6.0625,-174.0,0.01
31.41,1.04,1.04,-9.73,0.125,0.125,0.0,271.5625,6.0625,-174.0,0.0
32.05,1.02,1.05,-9.78,-0.125,0.125,0.0625,271.5625,6.0625,-174.0,0.0
32.68,1.03,1.02,-9.79,0.125,0.0625,0.0625,271.5625,6.0625,-174.0,0.01
33.31,1.04,1.03,-9.76,0.125,-0.0625,0.0,271.5625,6.0625,-174.0,0.01
33.95,1.01,1.04,-9.82,0.0625,0.125,-0.25,271.5625,6.0625,-174.0,0.01
34.58,1.08,1.06,-9.79,-1.0,1.75,0.1875,271.5625,6.125,-173.9375,0.01
35.22,1.27,1.28,-9.87,-0.8125,-0.5,-0.5,271.5625,8.0,-173.0625,0.0
35.86,0.93,0.45,-9.4,-0.875,-4.875,-2.75,271.0,5.375,-174.25,0.01
36.49,1.03,1.7,-9.73,-6.3125,17.25,3.8125,271.0625,6.1875,-173.3125,0.01
37.13,0.92,0.92,-9.31,4.0625,5.0625,1.4375,271.625,5.875,-174.1875,0.0
37.77,1.06,1.05,-9.72,1.8125,0.6875,0.9375,271.4375,6.125,-173.8125,0.01
38.4,0.97,1.09,-9.75,-0.5,0.6875,-0.3125,271.5,5.875,-173.8125,0.0
39.03,1.05,1.08,-9.84,0.0625,-0.0625,0.125,271.4375,6.125,-173.9375,0.0
39.67,1.02,1.03,-9.74,-0.0625,0.25,0.0625,271.4375,6.125,-173.9375,0.01
40.3,1.02,1.02,-9.78,-0.0625,-0.375,-0.0625,271.4375,6.125,-173.9375,0.0
40.94,1.02,1.03,-9.81,0.0,-0.1875,0.125,271.4375,6.125,-173.9375,0.01
41.58,1.02,1.01,-9.74,-0.0625,-0.1875,-0.125,271.4375,6.125,-173.9375,0.01
42.22,1.03,1.04,-9.76,0.0,0.0,0.0625,271.4375,6.125,-173.9375,0.0
42.85,1.01,1.02,-9.85,0.0625,-0.0625,-0.125,271.4375,6.125,-173.9375,0.01
43.49,1.01,1.03,-9.75,0.0,-0.0625,0.0625,271.4375,6.125,-173.9375,0.01
44.13,1.01,1.02,-9.78,-0.1875,0.0,0.125,271.4375,6.125,-173.9375,0.01
44.76,1.0,1.03,-9.72,0.125,0.0625,-0.125,271.4375,6.125,-173.9375,0.01
45.39,1.01,1.02,-9.74,-0.0625,-0.0625,0.0,271.4375,6.125,-173.9375,0.01
46.04,1.0,1.03,-9.78,0.0,-0.0625,0.0,271.4375,6.125,-173.9375,0.0
46.67,1.0,1.04,-9.73,0.125,0.0625,0.0,271.4375,6.125,-173.9375,0.01
47.31,0.99,1.02,-9.73,0.0,-0.125,0.0,271.4375,6.125,-173.9375,0.0
47.94,1.01,1.0,-9.76,0.125,0.0,-0.125,271.4375,6.125,-173.9375,0.01
48.57,1.01,1.05,-9.76,-0.0625,0.0625,-0.1875,271.4375,6.125,-173.9375,0.01
49.21,1.0,1.04,-9.73,0.0,-0.125,0.0,271.4375,6.125,-173.9375,0.01
49.85,1.0,1.02,-9.9,-0.0625,-0.0625,0.125,271.4375,6.125,-173.9375,0.01
50.48,1.01,1.03,-9.75,0.0625,0.0,-0.0625,271.4375,6.125,-173.9375,0.01
51.12,1.01,1.02,-9.81,0.0,-0.0625,0.0,271.4375,6.125,-173.9375,0.01
51.75,1.0,1.02,-9.74,0.125,0.0,0.125,271.4375,6.125,-173.9375,0.01
52.38,0.99,1.05,-9.74,-0.1875,-0.1875,0.1875,271.4375,6.125,-173.9375,0.0
53.02,1.01,1.02,-9.84,-0.0625,0.125,0.0625,271.4375,6.125,-173.9375,0.0
53.65,1.0,1.03,-9.75,0.0625,0.0625,-0.0625,271.4375,6.125,-173.9375,0.0
54.29,1.01,1.03,-9.72,-0.0625,0.0,-0.0625,271.4375,6.125,-173.9375,0.01
54.93,1.0,1.03,-9.83,0.125,0.125,-0.125,271.4375,6.125,-173.9375,0.01
55.56,0.99,1.02,-9.73,-0.0625,0.0625,0.0,271.4375,6.125,-173.9375,0.01
56.2,1.0,1.02,-9.79,-0.0625,0.0,-0.1875,271.4375,6.125,-173.9375,0.01
56.83,1.01,1.01,-9.77,0.0625,-0.125,0.0,271.4375,6.125,-173.9375,0.0
57.47,1.01,1.03,-9.74,0.125,-0.125,0.0,271.4375,6.125,-173.9375,0.0
58.1,1.01,1.04,-9.83,-0.125,-0.125,0.0,271.4375,6.125,-173.9375,0.01
58.74,1.01,1.04,-9.73,0.0625,-0.0625,0.0,271.4375,6.125,-173.9375,0.01
59.37,1.01,1.02,-9.77,-0.0625,0.25,-0.0625,271.4375,6.125,-173.9375,0.01
60.0,1.01,1.02,-9.85,0.25,0.0625,0.0625,271.4375,6.125,-173.9375,0.01
60.64,1.0,1.02,-9.74,0.0625,-0.0625,-0.0625,271.4375,6.125,-173.9375,0.01
61.27,1.01,1.05,-9.76,0.0625,-0.125,-0.0625,271.4375,6.125,-173.9375,0.01
61.91,1.01,1.04,-9.72,-0.125,0.0,0.0625,271.4375,6.125,-173.9375,0.0
62.54,1.0,1.02,-9.73,0.0,-0.1875,0.0,271.4375,6.125,-173.9375,0.0
63.18,1.02,1.03,-9.83,0.0625,0.0,0.0625,271.4375,6.125,-173.9375,0.0
63.81,1.01,1.0,-9.73,-0.1875,0.1875,0.0625,271.4375,6.125,-173.9375,0.01
64.45,1.0,1.02,-9.79,0.0,0.125,0.0,271.4375,6.125,-173.9375,0.01
65.08,1.03,1.0,-9.83,-0.375,0.75,0.0,271.4375,6.1875,-173.875,0.01
65.71,1.15,0.78,-9.79,0.9375,2.1875,-0.125,271.4375,6.625,-174.0625,0.01
66.35,1.11,0.77,-8.73,24.1875,-44.625,0.25,270.875,11.125,-174.0,0.01
66.99,1.44,1.3,-9.53,1.9375,-1.4375,-0.5,271.25,8.6875,-173.625,0.01
67.62,1.92,2.36,-9.71,21.1875,-25.5625,-10.3125,270.875,8.625,-172.375,0.01
68.26,1.38,1.4,-9.3,13.375,3.0,2.6875,270.75,7.3125,-171.875,0.01
68.9,1.18,1.19,-9.86,-1.0625,0.5,0.1875,270.8125,7.4375,-172.1875,0.01
69.53,1.04,1.07,-9.97,-2.0625,-0.3125,-0.3125,270.5625,6.0,-174.0,0.0
70.17,1.26,1.05,-9.85,0.4375,-1.0625,-0.3125,270.625,6.1875,-173.875,0.01
70.8,1.05,1.0,-9.71,0.0,0.0625,0.25,270.625,6.0625,-173.75,0.01
71.44,1.05,1.0,-9.81,-0.125,-0.1875,0.0625,270.625,6.125,-173.75,0.01
72.07,1.23,1.28,-9.57,-1.25,0.9375,0.0625,270.6875,7.0625,-172.125,0.01
72.71,1.14,1.01,-9.73,-0.25,0.1875,-0.0625,270.6875,6.25,-173.875,0.01
73.34,1.14,1.0,-9.82,-0.125,0.6875,0.25,270.6875,6.0,-173.875,0.0
73.98,1.12,1.0,-9.69,0.1875,0.0,-0.0625,270.6875,6.0625,-173.875,0.0
74.61,1.13,0.99,-9.7,-0.3125,0.0625,0.0625,270.6875,6.0625,-173.875,0.0
75.25,1.11,1.01,-9.84,-0.125,-0.1875,0.1875,270.6875,6.0625,-173.875,0.0
75.89,1.11,1.0,-9.72,-0.1875,-0.1875,-0.0625,270.6875,6.0625,-173.875,0.01
76.52,1.13,1.01,-9.8,0.0625,-0.125,0.0625,270.6875,6.0625,-173.875,0.01
77.16,1.13,1.0,-9.8,0.125,-0.1875,-0.0625,270.6875,6.0625,-173.875,0.01
77.8,1.15,1.02,-9.73,-0.125,0.0625,-0.125,270.6875,6.0625,-173.875,0.01
78.44,1.14,1.01,-9.75,0.3125,0.25,0.0,270.6875,6.0625,-173.875,0.0
79.07,1.13,1.0,-9.83,0.0625,0.125,0.25,270.6875,6.0625,-173.875,0.01
79.7,1.15,1.01,-9.74,0.0625,0.0,0.0,270.6875,6.0625,-173.875,0.01
80.34,1.13,1.03,-9.82,-0.0625,0.0,-0.0625,270.6875,6.0625,-173.875,0.0
80.97,1.13,0.99,-9.75,0.0625,-0.1875,0.0625,270.6875,6.0625,-173.875,0.0
81.61,1.14,1.0,-9.74,0.0625,-0.25,0.0,270.6875,6.0625,-173.875,0.0
82.24,1.13,1.02,-9.83,-0.0625,-0.125,0.0,270.6875,6.0625,-173.875,0.01
82.88,1.15,1.0,-9.7,0.3125,0.125,-0.125,270.6875,6.0625,-173.875,0.01
83.51,1.13,1.01,-9.76,0.0,-0.0625,0.0625,270.6875,6.0625,-173.875,0.01
84.15,1.13,1.03,-9.75,0.0625,-0.125,-0.0625,270.6875,6.0625,-173.875,0.01
84.79,1.13,1.01,-9.73,0.0625,0.0625,-0.0625,270.6875,6.0625,-173.875,0.01
85.42,1.15,1.01,-9.78,-0.0625,-0.125,0.0,270.6875,6.0625,-173.875,0.01
86.06,1.13,0.99,-9.74,-0.125,0.0,-0.125,270.6875,6.0625,-173.875,0.01
86.69,1.13,1.01,-9.77,-0.0625,0.0,0.0625,270.6875,6.0625,-173.875,0.01
87.33,1.15,0.99,-9.81,-0.0625,0.0,0.0,270.6875,6.0625,-173.875,0.01
87.96,1.15,1.01,-9.72,-0.0625,0.0,0.0625,270.6875,6.0625,-173.875,0.01
88.6,1.14,0.99,-9.74,-0.0625,-0.1875,-0.0625,270.6875,6.0625,-173.875,0.01
89.24,1.13,0.98,-9.84,0.0625,0.0,-0.0625,270.6875,6.0625,-173.875,0.0
89.87,1.15,1.02,-9.72,0.1875,0.0625,0.0,270.6875,6.0625,-173.875,0.0
90.51,1.14,0.99,-9.78,0.125,-0.125,-0.125,270.6875,6.0625,-173.875,0.0
91.14,1.15,1.01,-9.75,-0.125,-0.0625,0.0625,270.6875,6.0625,-173.875,0.0
91.78,1.14,0.99,-9.68,-0.125,0.125,0.0,270.6875,6.0625,-173.875,0.01
92.41,1.13,1.02,-9.74,-0.125,0.0,0.0,270.6875,6.0625,-173.875,0.01
93.05,1.15,1.02,-9.74,0.0,0.125,0.0,270.6875,6.0625,-173.875,0.01
93.68,1.13,1.0,-9.72,-0.0625,0.0625,0.0,270.6875,6.0625,-173.875,0.0
94.32,1.15,1.0,-9.84,0.1875,0.0625,-0.0625,270.6875,6.0625,-173.875,0.0
94.95,1.13,1.0,-9.7,-0.0625,0.125,0.0625,270.6875,6.0625,-173.875,0.01
95.59,1.16,1.01,-9.8,-0.125,-0.0625,0.0625,270.6875,6.0625,-173.875,0.01
96.23,1.13,1.01,-9.81,-0.0625,0.0,0.0,270.6875,6.0625,-173.875,0.01
96.86,1.14,1.0,-9.7,-0.1875,-0.125,0.0,270.6875,6.0625,-173.875,0.01
